標籤,標題,時間,活動描述
高教深耕,(高教深耕)人文素養跨領域學程校外參訪【走一趟時光路：從中原到陽明的韓偉記憶之旅】,05/24 (週六) 08:30 ~ 13:00,"(高教深耕)人文素養跨領域學程校外參訪【走一趟時光路：從中原到陽明的韓偉記憶之旅】 Facebook分享 LINE分享 取得網址 取得QrCode
活動時間：2025年5月24日 08:30~2025年5月24日 13:00 加入行事曆
活動地點：國立陽明交通大學（陽明校區） (地址：台北市北投區立農街二段155號)
活動嘉賓：
活動類型： 活動
參加對象： 校內學生
承辦：通識教育中心
活動聯絡人： 蔡維庭 03-2656877    
活動所屬單位： 通識教育中心
你知道中原大學與陽明交大之間，其實有段不為人熟知的深厚關聯嗎？
這一次，我們將循著時間的軌跡，前往陽明交大陽明校區，實地探訪韓偉先生的故居與生活空間。韓偉曾於中原擔任校長，對教育懷抱熱情，也深深影響著中原學子的精神視野。在山林與歷史交會的路途中，一起走進他的足跡！
感受那份跨越時代的人文理想，踏上一場知性而溫潤的尋根之旅。💝

✦ 參訪日期：114年5月24日（六）08:30~13:00
✦ 參訪地點：國立陽明交通大學（陽明校區）、軍艦岩
✦ 報名日期：114年4月24日（四）~ 5月15日（五）
✦ 參訪費用：免費
✦ 參與對象：中原大學 在校生（以人文素養跨領域學程學生為優先）
✦ 報名方式：於報名期間至全人村南棟813辦公室填寫報名表，並繳交保證金100元，
即完成報名。（保證金將於活動當天退回）
✎ 報名時間：平日08:30~12:00 / 13:30~17:00 

✨因本次參訪有人數限制，有興趣的手刀報名喔！
  不需線上報名"
高教深耕,(高教深耕)(通識自主學習)113-2張靜愚紀念圖書館中英文讀書會,02/14 (週五),"(高教深耕)(通識自主學習)113-2張靜愚紀念圖書館中英文讀書會 Facebook分享 LINE分享 取得網址 取得QrCode
活動時間：2025年2月14日 00:00~2025年5月27日 00:00 加入行事曆
活動地點：
活動嘉賓：
活動類型： 活動
參加對象： 開放校內外人士
承辦：圖書館讀者服務組
活動聯絡人： 黃楹茹03-265-2839     吳佳穎03-265-2845    
活動所屬單位： 圖書館讀者服務組
各位同學看過來~圖書館讀書會開跑囉！
無論是想和不同國家的外籍生互動，
還是想找三五好友一同體會書中樂趣，
絕對不能錯過圖書館為您準備的讀書會活動！

申請通過後，全程參與並符合相關規定者
可申請通識自主學習0.2學分 及 獲得 獎勵金
 👉籌組英文讀書會【詳情請點我】
 👉學生自組讀書會【詳情請點我】

誠摯歡迎各位踴躍參與喔！
  不需線上報名"
高教深耕,(高教深耕)(教師教學研習)密涅瓦計畫暨113-2學期OMO課程教師交流工作坊,05/27 (週二) 12:10 ~ 13:10,"(高教深耕)(教師教學研習)密涅瓦計畫暨113-2學期OMO課程教師交流工作坊 Facebook分享 LINE分享 取得網址 取得QrCode
活動時間：2025年5月27日 12:10~2025年5月27日 13:10 加入行事曆
活動地點：雅文多功能B廳(活動中心2樓)
活動嘉賓：
活動類型： 活動
參加對象： 校內教職員
承辦：數位教育發展處數位活動推廣組
活動聯絡人： 張玉涵 03-2652724    
活動所屬單位： 數位教育發展處數位活動推廣組
議題:
一、「OMO數位學習模式課程開課規範」修正說明
二、 課程案例分享: 
        商業設計學系 黃文宗老師113-2學期OMO課程案例分享
三、 教師交流及回饋:
        (一)   課程規劃 
        (二)  教學執行
        (三)  學生學習成效評估
本工作坊活動可列入教師研習時數，歡迎教師踴躍參與!!
  報名期限
05/16 (週五) 16:00 ~ 05/22 (週四) 16:00
已過期"
高教深耕,(通識自主學習)(高教深耕)【通識青年論壇】,05/27 (週二) 15:10 ~ 17:00,"(通識自主學習)(高教深耕)【通識青年論壇】05/27｜年齡≠能力，17歲的我，能做些什麼？ Facebook分享 LINE分享 取得網址 取得QrCode
活動時間：2025年5月27日 15:10~2025年5月27日 17:00 加入行事曆
活動地點：張靜愚紀念圖書館一樓秀德廳
活動嘉賓：
活動類型： 專題或演講
參加對象： 開放校內外人士
承辦：通識教育中心
活動聯絡人： 張芸瑄 03-2656883    
活動所屬單位： 通識教育中心
活動資訊與注意事項
● 時間：114年5月27日（二）15:10-17:00
● 地點：張靜愚紀念圖書館一樓秀德廳
● 講題：年齡≠能力，17歲的我，能做些什麼？
● 講員：李爅
● 講員介紹：
李爅，當時是年齡17歲的高中生，憑著一股毅力與愛心，以募集物資的方式，成立了【全國首創校園食物銀行】並於107年06月02日正式成立協會，以【愛心公開透明】為宗旨，號召青年學子為社會出一份力量，愛心不分年齡人人都可以做的精神，希望達成【全台無飢餓 人人都溫飽】的目標。
  ★ 參加通識活動之注意事項 ★
※ 報名時請填寫正確電子郵件帳號，若活動有異動將寄送電子郵件告知。
※ 本單位有修改活動之權利。若有任何更動，請以最新公告為主。
※ 參與人數額滿將提前結束報名！
※ 不刻出席時，請務必取消報名，以免資源浪費！
※ 依現場工作人員判定遲到或早退者，恕無法取得各項參與時數。
※ 請於活動結束後出示學生證/職員證嗶卡簽退，以保障您的權益！
※ 為維護您與他人的健康，若身體不適，請避免出席活動。
  報名期限
03/31 (週一) 08:00 ~ 05/23 (週五) 17:00
已過期"
高教深耕,(高教深耕)113-2 交換生分享月(此連結為,05/28 (週三) 10:00 ~ 12:00,"(高教深耕)113-2 交換生分享月(此連結為5/28報名場次) Facebook分享 LINE分享 取得網址 取得QrCode
活動時間：2025年5月28日 10:00~2025年5月28日 12:00 加入行事曆
活動地點：活動中心101全球交誼廳
活動嘉賓：
活動類型： 活動
參加對象： 校內學生
承辦：國際暨兩岸教育處綜合業務組
活動聯絡人： 戴廷宇 03-2651732    
活動所屬單位： 國際暨兩岸教育處綜合業務組
交換生分享月 (此連結為5/28報名場次)
📢你也想體驗不同語言與文化的生活嗎?
📢你想站在充滿異國風情的土地上，擁有不一樣的人生體驗嗎?
💡那絕對不能錯過「交換生經驗分享月」，本活動邀請擁有豐富赴外交換經驗的同學進行分享談，從申請流程到赴外的生活點滴，完整將經驗分享給大家!!!

名額有限~快來報名!!!!!
  【報名注意事項】
1. 人數限制：每場次30人。
注意※ 報名成功者會收到【報名成功通知Email】，請確實收到通知信後再出席，沒收到者則表示報名失敗。請確實填寫可收發信件的Email，以確保成功收到報名成功通知訊息。
2. 報名截止日：即日起至人數額滿止。
3. 未報名成功的人，可於活動當天到現場進行排隊候補。活動15分鐘後如有名額，將開放候補進場。
4. 出席者請務必攜帶學生證(未攜帶學生證或有效證件者無法入場)。
【活動注意事項】
1. 入場時請口頭告知報名序號，並於活動結束離場時簽到。
2. 為了維護他人的學習權益，活動皆準時開始，遲到15分鐘者不得入場，15分後會將以報名缺席名額開放給現場同學候補。
3. 提醒同學請勿攜帶貴重物品，若遺失恕不負保管、賠償之責。
【取消報名流程】(報名成功者適用)
(1) 請來電或寄信告知，並告知取消資訊：1)場次日期 2)序號 3)學號 4)姓名
(2) 聯繫方式：03-2651732 戴小姐  tingyutai@cycu.edu.tw
  報名期限
03/31 (週一) 09:00 ~ 05/27 (週二) 00:00
報名
※報名已達活動預計人數"
高教深耕,(高教深耕)【能力培育學習坊】職場數位工具與 AI 運用:行事曆與專案管理實務,05/28 (週三) 12:00 ~ 13:30,"(高教深耕)【能力培育學習坊】職場數位工具與 AI 運用:行事曆與專案管理實務 Facebook分享 LINE分享 取得網址 取得QrCode
活動時間：2025年5月28日 12:00~2025年5月28日 13:30 加入行事曆
活動地點：真知教學大樓日日新共學區 (806室) (地址：桃園市中壢區中北路200號)
活動嘉賓：
活動類型： 專題或演講
參加對象： 校內學生
承辦：教務處學生學習發展中心
活動聯絡人： 古婉陵 03-2652054    
活動所屬單位： 教務處學生學習發展中心
【能力培育學習坊】職場數位工具與 AI 運用:行事曆與專案管理實務
  ＃個人化的工作流程系統
＃自動化應用
＃時間管理與協作能力
  【黃海潮 講師】
你是否希望讓工作更有條理、更高效？
本學習坊將帶領你掌握 Notion 的核心應用，從行事曆規劃、任務管理到專案進度追蹤，打造專屬的數位工作系統。課程亦結合 AI 工具，協助建立個人化智慧工作流程，全面提升工作效率。
從凌亂到有序，讓你掌控工作的每一步！
日期｜ 2025/05/28（星期三）
時間｜ 12:00-13:30
地點｜ 日日新共學區 (真知教學大樓806)
    報名期限
05/14 (週三) 09:00 ~ 05/27 (週二) 12:00
報名"
高教深耕,(高教深耕) 特殊業態新興創業家講座-職人經紀(,05/28 (週三) 17:00 ~ 19:00,"(高教深耕) 特殊業態新興創業家講座-職人經紀(5/28) Facebook分享 LINE分享 取得網址 取得QrCode
活動時間：2025年5月28日 17:00~2025年5月28日 19:00 加入行事曆
活動地點：中原大學 真知教學大樓105室 (地址：320桃園市中壢區中北路200號)
活動嘉賓： 林筱薇 (秝芙職人經紀 創辦人暨執行長)    
活動類型： 教育訓練
參加對象： 開放校內外人士
承辦：產學營運處創新創業發展中心
活動聯絡人： 潘建廷 03-2651812    
活動所屬單位： 產學營運處創新創業發展中心
講題 |　打造產業永續影響力—策略經紀顧問
講師 |　林筱薇 (秝芙職人經紀 創辦人暨執行長)
時間 |　114/05/28(三) 17:00-19:00
地點 |　中原大學 真知教學大樓105室
(若課程地點異動將以簡訊或郵件通知)
報名期限 | 即日起 至 114/05/27 止
活動承辦 | 潘助教 03-2651812
官方LINE | @pgu3467i
    報名期限
02/21 (週五) 00:00 ~ 05/27 (週二) 23:59
報名"
高教深耕,(高教深耕),05/29 (週四) 10:00 ~ 12:00,"(高教深耕) 5/29「ESG與永續金流治理」 Facebook分享 LINE分享 取得網址 取得QrCode
活動時間：2025年5月29日 10:00~2025年5月29日 12:00 加入行事曆
活動地點：真知教學大樓610教室
活動嘉賓： 永澧環境顧問管理公司合夥人 溫麗琪博士    
活動類型： 專題或演講
參加對象： 校內教職員、校內學生
承辦：產學營運處產學平台暨專利技轉中心
活動聯絡人： 劉方榆 03-2651842    
活動所屬單位： 產學營運處產學平台暨專利技轉中心
本課程探討ESG趨勢下的永續金流管理實務，剖析企業如何建構透明負責的財務與治理機制。
  報名期限
05/12 (週一) 00:00 ~ 05/29 (週四) 00:00
報名"
高教深耕,(高教深耕)(TA培訓) 113-2 線上教學助理培訓會,03/24 (週一),"(高教深耕)(TA培訓) 113-2 線上教學助理培訓會 Facebook分享 LINE分享 取得網址 取得QrCode
活動時間：2025年3月24日 00:00~2025年5月30日 00:00 加入行事曆
活動地點：本校i-learning平台
活動嘉賓：
活動類型： 教育訓練
參加對象： 校內教職員、校內學生
承辦：教務處學生學習發展中心
活動聯絡人： 彭惠燕 03-2652051    
活動所屬單位： 教務處學生學習發展中心
  報名期限
03/24 (週一) 00:00 ~ 05/18 (週日) 00:00
已過期"
高教深耕,(教師教學研習)(高教深耕)應用CDIO於教學規劃與實踐,06/04 (週三) 11:00 ~ 12:00,"(教師教學研習)(高教深耕)應用CDIO於教學規劃與實踐 Facebook分享 LINE分享 取得網址 取得QrCode
活動時間：2025年6月4日 11:00~2025年6月4日 12:00 加入行事曆
活動地點：張靜愚紀念圖書館103室(普仁小集)
活動嘉賓： 國立臺北教育大學數位科技設計學系 許一珍教授    
活動類型： 專題或演講
參加對象： 校內教職員
承辦：教務處教師教學發展中心
活動聯絡人： 陳怡君 03-2652042    
活動所屬單位： 教務處教師教學發展中心
活動時間：2025年6月4日(三) 11:00 ~ 12:00
活動地點：張靜愚紀念圖書館103室 (普仁小集)
活動主題：【應用CDIO於教學規劃與實踐】
活動講師：國立臺北教育大學數位科技設計學系 許一珍教授
*全程參與將核定1小時研習時數
*活動敬備精緻餐盒
  報名期限
04/23 (週三) 07:00 ~ 06/03 (週二) 16:00
報名"
