教師,課程代碼,課程名稱
柯惠鈴,GQ457E,文化思想史
陳昭珍,GE786A,數位人文概論
陳昭珍,DH003L,資訊素養概論
黃信二,GE278A,哲學與思考
黃信二,GE280A,倫理與現代生活
黃信二,GE460A,通識教育講座
陳宏銘,GQ392E,台灣政治與民主
陳宏銘,GQ392F,台灣政治與民主
陳宏銘,GE535A,政治學與當代生活
陳宏銘,EF327G,司法實務與服務（二）
陳宏銘,AR528r,電腦輔助設計研習
陳宏銘,AR605r,專題研討(二)
陳宏銘,AR142R,建築設計(B)
陳宏銘,AR608t,專題研討(四)
陳宏銘,AR608T,專題研討(四)
陳宏銘,AR403G,電腦輔助設計(二)
陳宏銘,AR446L,建築設計 (八)
陳宏銘,AR414O,畢業設計(二)
閻亢宗,GE134A,北極生態與地緣政治的變化
閻亢宗,GE134B,北極生態與地緣政治的變化
潘兆民,GE498A,國際現勢與兩岸關係
潘兆民,IT421L,國際貿易與地緣政治
曾陽晴,GE100A,楚漢相爭之職場競爭力
曾陽晴,GE484A,愛情關係管理
曾陽晴,GE484B,愛情關係管理
曾陽晴,GE484C,愛情關係管理
曾陽晴,GE033R,研究生生涯探索
何彩滿,GQ395A,生活社會學
何彩滿,GQ395B,生活社會學
何彩滿,GQ396A,全球化大議題
何彩滿,GE113A,桃學趣
何彩滿,GE114A,桃學趣探索
向鴻全,GE874A,中文經典閱讀
向鴻全,ST004L,財法系講座系列(專業自主學習一)
向鴻全,ST005L,財法系講座系列(專業自主學習二)
向鴻全,ST006L,財法系講座系列(專業自主學習)
向鴻全,ST007L,資管系學習護照(專業自主學習一)
向鴻全,ST008L,職涯認證(專業自主學習)
向鴻全,ST355L,專業自主學習(一)
向鴻全,ST356L,專業自主學習(二)
向鴻全,ST648L,專業自主學習
向鴻全,CL801A,語文與修辭
陳康芬,GQ101M,宗教哲學
陳康芬,GE944A,黃春明小說導讀
陳康芬,PH801A,語文與修辭
陳康芬,ME801C,語文與修辭
陳康芬,AC801B,語文與修辭
羅月美,GQ201X,人生哲學
羅月美,GQ201Y,人生哲學
羅月美,GE265A,當代倫理論辯
羅月美,GE454A,設計倫理
羅月美,GE481A,科學與倫理
羅月美,GE481B,科學與倫理
羅月美,GE481C,科學與倫理
羅月美,GE517C,企業倫理
羅月美,GE822A,美學概論
陳雅湞,GE060A,客家文學與電影
陳雅湞,GE060B,客家文學與電影
陳雅湞,GE061A,電影與音樂視覺藝術
陳雅湞,GE061B,電影與音樂視覺藝術
陳雅湞,GE065A,音樂與影劇賞析
魏立心,GE011A,藝術說桃園
魏立心,GE012A,說桃園
魏立心,GE731A,環境藝術
魏立心,GE731B,環境藝術
石栢岡,GE644A,生態工程與生活
石栢岡,GE644B,生態工程與生活
石栢岡,GE645A,自然科學應用
石栢岡,GE740A,環境永續樂桃桃
石栢岡,GE741A,環境樂桃桃
周文鵬,GE015A,動漫文學
周文鵬,GE015B,動漫文學
周文鵬,GE056A,角色敘事與劇本構成
周文鵬,GE067A,職涯敘事與實踐
周文鵬,EN801A,語文與修辭
周文鵬,ID801A,語文與修辭
張孝慧,GQ201M,人生哲學
張孝慧,GE055A,詩歌與社會
張孝慧,LG801A,語文與修辭
張孝慧,CL801B,語文與修辭
張孝慧,UP801A,語文與修辭
鄭詩萍,GE095A,英國生活與文化
鄭詩萍,GE095B,英國生活與文化
鄭詩萍,GE147A,桃園老街區的故事
鄭詩萍,AR059A,英語聽講(二)
鄭詩萍,CD059A,英語聽講(二)
李英明,GE516A,全球文化講座
陳文婉,GE893A,音樂的構成
陳文婉,GE899A,數位音樂名師專題
陳文婉,GE985A,音樂基礎訓練
陳文婉,MU043T,器樂演奏(三)
陳文婉,MU044T,器樂演奏(四)
陳文婉,MU560T,畢業展演製作(二)
陳文婉,MU561T,畢業展演製作實務(二)
張浩,GE790A,管樂器的職人工藝
張浩,GE937A,管弦樂作品鑑賞
張浩,MU041R,器樂演奏(一)
張浩,MU042R,器樂演奏(二)
張浩,MU502R,樂器設計工程(二)
張浩,MU511R,樂器設計思維(二)
張浩,MU537R,樂器設計創客實務(二)
張浩,MU508T,樂器設計工程製作(二)
羅明芳,GE098A,台語詩與歌
羅明芳,GE099A,聽見台灣讓歌聲飛翔
羅明芳,HE218L,跨領域專題實作(一)
羅明芳,MU528R,表演場域學(二)
羅明芳,MU530R,表演場域學實務(二)
蔡秀玲,GE038A,職場情緒軟功夫
蔡秀玲,GE038B,職場情緒軟功夫
蔡秀玲,GE308A,生命韌性與幸福
簡山根,GE003A,西洋弦樂器演奏賞析
簡山根,GE004A,浪漫時期音樂賞析
簡山根,GE050A,音樂素養與社群服務
簡山根,GE146A,桃園原民文化探究
葉安華,GE400A,婚姻與家庭
蘇友瑞,GE248A,價值判斷與分析
蘇友瑞,GE248B,價值判斷與分析
蘇友瑞,GE248C,價值判斷與分析
蘇友瑞,GE248D,價值判斷與分析
蘇友瑞,GE248E,價值判斷與分析
李信毅,GQ101X,宗教哲學
李信毅,GQ201S,人生哲學
李信毅,PR623R,教牧與實踐
康克,GQ101H,宗教哲學
康克,GQ201I,人生哲學
康克,GQ201L,人生哲學
康克,PR023R,基督宗教研究與社會學
江捷如,GE946A,心理健康與調適
馬育慧,GQ101I,宗教哲學
馬育慧,GQ101J,宗教哲學
馬育慧,GQ101K,宗教哲學
