question,answer
是否只要在選課時間內，網路上沒有選到通識課程，就可以到通識中心辦理人工加選嗎？或者拿人工加選單給授課老師要求加簽呢?,"因通識課程的學生來自本校各系所，若開放辦理人工加選，將無法控管修課人數、教室座位與教學品質；
有鑑於此，請預選修通識課程的學生，至選課系統選課，謝謝您。"
我一學期最多可以選幾門通識課程呢？,"每學期至多可選2門的延伸通識課程；而基礎課程的部分，「宗教信仰與靈性關懷」及「生命意義與價值判斷」可擇一修課，
「公民素養與社會關懷」可擇一修課，「歷史思維與多元文化」可擇一修課。若每一類別都選上，最多可選到3門基礎通識課程；延伸通識課程至多可選2門。"
可以在同一學期修宗教哲學課程跟人生哲學課程嗎?,"「宗教哲學」與「人生哲學」的課程設計，是以兩學期的時間引領同學探索人與我、人與人、人與物、人與天之健全整合，理解全人關懷的理念與價值觀，再以哲學思辨研究宗教信仰，
由信仰的價值觀導向生命意義的追尋，因此無法於同一學期選修宗教哲學課程跟人生哲學課程，若需要詳細的相關資訊請洽詢校牧處(03)265-2603。"
如果基礎必修學分已經修足，多修的學分能不能承認在延伸選修學分呢?,基礎必修課程與延伸選修課程的向度不同，所以學分無法互抵。※關於向度的意思為「各個不同的義理內涵與面向」，請參考「通識課程地圖」。
通識教育中心有哪些跨領域 / 就業的學程可以選擇？,"本中心有四個跨領域 / 就業的學程可供學生參與 ，「數位音樂就業學程」、「公共行政就業學程」、「創意創新創業跨領域學分學程」、「人文素養跨領域學分學程」，學程相關的申請資訊如下：
 1.請先登入itouch，網址：http://www.cycu.edu.tw/，申請相關訊息如網頁公告。路徑： 中原大學首頁→在校學生(網頁左上角)→登入→選擇itouch→教務處(網頁左欄)→課註組→跨領域學程申請及審核。
 2.申請日期請留意學校itouch公告，謝謝您。"
如何進入選課系統？,請參考選課報報，如網址。選課系統網址：https://myself.cycu.edu.tw/#/login，或請至中原大學首頁→點選「在校學生」→點選「選課系統」→點選「 CYCU Myself 登入」→點選「選課系統」
基礎通識和延伸通識要怎麼分配?,基礎通識和延伸通識要平均分配，因為延伸通識課程一學期上限2門，基礎課程可以超過2門的(宗哲及人哲不可以同個學期修)，建議同學在選修基礎通識課程時，也要每學期至少修一門延伸選修通識。
如果我不小心基礎的歷史類區域文明史和文化思想史都修過了那怎麼辦，因為後來發現只要一個修過就可以？,基礎人學-歷史思維類課程只需修2學分，多修的課程不承認為通識學分，也無法承認為延伸選修學分。
我不知道我的基礎物類課程要怎麼選擇？,"自110學年度起，全校各學系安排基礎物學的修課學期及時段，由系統自動加選。若舊制學生(109學年度(含)以前大學部學生）
未修畢「自然科學導論」、「工程與科技」、「電資與人類文明」者，需修「自然科學與人工智慧導論」抵認基礎物學學分。請依選課日程表時程自行上系統選課。"
為什麼我總是搶不到通識課程？,通識課程每學期約開300多個班，部分課程因受限於場地及設備等限制，無法容納太多學生，建議同學可依時間規劃彈性安排課程，透過各式課程，撞擊不同的思維也帶來豐富的收穫喔！
